"name","title","first","second","third"
"1-1","Общежитие № 1","1",1,NULL
"1-10-1","Общежитие № 1","1",10,1
"1-10-2","Общежитие № 1","1",10,2
"1-11-1","Общежитие № 1","1",11,1
"1-11-2","Общежитие № 1","1",11,2
"1-12-1","Общежитие № 1","1",12,1
"1-12-2","Общежитие № 1","1",12,2
"1-2-1","Общежитие № 1","1",2,1
"1-2-2","Общежитие № 1","1",2,2
"1-3-1","Общежитие № 1","1",3,1
"1-3-2","Общежитие № 1","1",3,2
"1-4","Общежитие № 1","1",4,NULL
"1-5","Общежитие № 1","1",5,NULL
"1-6","Общежитие № 1","1",6,NULL
"1-7","Общежитие № 1","1",7,NULL
"1-8-1","Общежитие № 1","1",8,1
"1-8-2","Общежитие № 1","1",8,2
"1-9-1","Общежитие № 1","1",9,1
"1-9-2","Общежитие № 1","1",9,2
"10-1","Общежитие № 10","10",1,NULL
"10-2","Общежитие № 10","10",2,NULL
"10-3","Общежитие № 10","10",3,NULL
"2-1","Общежитие № 2","2",1,NULL
"2-2","Общежитие № 2","2",2,NULL
"2-3","Общежитие № 2","2",3,NULL
"2-4","Общежитие № 2","2",4,NULL
"2-5","Общежитие № 6","2",5,NULL
"3-1","Общежитие № 3","3",1,NULL
"3-2","Общежитие № 3","3",2,NULL
"3-3","Общежитие № 3","3",3,NULL
"3-4-1","Общежитие № 3","3",4,1
"3-4-2","Общежитие № 3","3",4,2
"3-5-1","Общежитие № 3","3",5,1
"3-5-2","Общежитие № 3","3",5,2
"3-5-3","Общежитие № 3","3",5,3
"3-7","Общежитие № 3","3",7,NULL
"4-1-1","Общежитие № 4","4",1,1
"4-1-2","Общежитие № 4","4",1,2
"5-1","Общежитие № 5","5",1,NULL
"5-2","Общежитие № 5","5",2,NULL
"5-3","Общежитие № 5","5",3,NULL
"5-4","Общежитие № 5","5",4,NULL
"8-1","Общежитие № 8","8",1,NULL
"8-2","Общежитие № 8","8",2,NULL
"8-3","Общежитие № 8","8",3,NULL
"МСГ","Мeжвузовский студенческий городок","МСГ",NULL,NULL
